Id,SalePrice
1461,123584.55841765889
1462,164047.21278266027
1463,184744.53647225612
1464,193149.45085374903
1465,181436.96109505123
1466,175470.21390309598
1467,165747.0812402724
1468,165307.15758176782
1469,192488.99841121552
1470,125108.9887012749
1471,195631.67566847074
1472,93840.21656511704
1473,94772.41684942404
1474,159975.22411965817
1475,138616.3442675522
1476,380464.13061950717
1477,255666.7440498616
1478,305244.7475216641
1479,264834.3386550241
1480,472250.12527405296
1481,322448.81088200485
1482,210934.12154704347
1483,166249.5066482415
1484,165574.68091804857
1485,172428.7997112823
1486,192098.42531709798
1487,368527.9597449542
1488,237999.69691220205
1489,209402.8757592658
1490,216541.71623488856
1491,189767.49096577795
1492,87885.90989888129
1493,197912.0632604745
1494,278639.33977661945
1495,287887.489335948
1496,232340.06905262196
1497,189444.2332665596
1498,163589.0370651448
1499,161980.62823558168
1500,147286.59855411123
1501,175816.41268801416
1502,154541.43813580254
1503,307098.9326956997
1504,226641.8171403329
1505,226255.3562844938
1506,189741.87535664722
1507,245910.53058645804
1508,206196.17627062695
1509,159924.68888663463
1510,145187.74264483125
1511,139727.2177123359
1512,165912.90618811225
1513,152047.10279036307
1514,172303.82119280516
1515,193798.73915410167
1516,157572.15305708276
1517,150788.83093265924
1518,130317.09248932567
1519,220039.52342051239
1520,134719.7733098543
1521,133487.12353418767
1522,166838.83302863737
1523,109381.18436808948
1524,125618.23169329045
1525,125135.5575651812
1526,123608.56446006417
1527,103644.84242354846
1528,121569.81883932633
1529,148524.56835801553
1530,188747.92589710964
1531,101769.47769912296
1532,98686.60028641653
1533,141320.85129528746
1534,119768.5504368119
1535,155865.8655743811
1536,114043.37987527862
1537,71182.42587798233
1538,178777.9272739214
1539,194668.1787897402
1540,89465.66144894152
1541,139525.67040563418
1542,142191.55832965113
1543,229474.62158794585
1544,72994.89618230918
1545,103420.78175259357
1546,125921.09945923844
1547,140559.0515542997
1548,135453.86076859012
1549,109591.81694982923
1550,143126.76554229468
1551,109030.42410506833
1552,130247.87964746905
1553,154699.6675950721
1554,106557.06748421167
1555,167103.84266090175
1556,81146.34589936952
1557,114582.71016017532
1558,95862.99993129034
1559,83581.6069846172
1560,133363.45525615258
1561,127200.89051394524
1562,128166.24072198704
1563,121701.39300992084
1564,155443.8453436017
1565,149656.91686195583
1566,218694.1085186366
1567,73519.6519243056
